created_at,entry_id,field2
2024-10-30 17:37:13 UTC,1,23.8
2024-10-30 17:37:46 UTC,2,23.8
2024-10-30 17:38:33 UTC,3,23.8
2024-10-30 17:39:06 UTC,4,23.8
2024-10-30 17:39:37 UTC,5,23.8
2024-10-30 17:40:09 UTC,6,23.8
2024-10-30 17:40:41 UTC,7,23.8
2024-10-30 17:41:27 UTC,8,23.8
2024-10-30 17:42:19 UTC,9,23.8
2024-10-30 17:42:58 UTC,10,23.8
2024-10-30 17:43:30 UTC,11,23.8
2024-10-30 17:44:02 UTC,12,23.8
2024-10-30 17:46:42 UTC,13,0.0
2024-10-30 17:48:08 UTC,14,23.8
2024-10-30 17:52:34 UTC,15,26.81
2024-10-30 17:53:07 UTC,16,26.81
2024-10-30 17:53:40 UTC,17,26.81
2024-10-30 17:54:13 UTC,18,26.81
2024-10-30 17:55:28 UTC,19,0.0
2024-10-30 17:56:04 UTC,20,0.0
2024-10-30 17:56:36 UTC,21,26.81
2024-10-30 17:58:38 UTC,22,26.81
2024-10-30 17:59:10 UTC,23,26.81
2024-10-30 17:59:41 UTC,24,26.81
2024-10-30 18:00:13 UTC,25,26.81
2024-10-30 18:02:47 UTC,26,26.81
